subjectName,school,major,subjectCode,unit,category,target_year,elecCompul,quarter
ランドスケーププロジェクト,DES,END,3491W,4,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,3,前期
緑地環境設計論,DES,END,2221J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,後期
輪講,DES,ACD,4861J,2,専攻教育科目　Specialized Education,学部4年　Undergraduate fourth grade,3,前期
歴史環境実習,DES,END,3802W,1,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,後期集中
歴史環境設計論,DES,END,3362J,2,専攻教育科目　Specialized Education,学部3年　Undergraduate third grade,1,秋学期
アート・デザイン・ライティング演習,DES,DFT,2531J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
ウェブサービスデザイン,DES,DFT,3331J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
ウェブサービスデザイン,DES,MED,2312J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
音響機器論,DES,ACD,2332J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
環境音響構成,DES,ACD,2232J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,冬学期
環境構法論,DES,END,2341J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
環境材料論Ⅱ,DES,END,2522J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
環境社会デザイン論,DES,END,2121J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
環境社会デザイン論,DES,DFT,2221W,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
環境調整システム論,DES,END,2611J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
環境人間工学（2020年度入学者対象）,DES,IND,2141J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
環境保全論,DES,END,2211J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
感性科学（2020年度入学者対象）,DES,IND,2151J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,前期集中
芸術論,DES,MED,2231J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
建築デザイン計画論,DES,END,2311J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
建築法規,DES,END,2361J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
コンテンツ工学,DES,MED,2322J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
コンテンツデザイン演習Ⅱ,DES,MED,2571J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,冬学期
質的社会調査法,DES,DFT,2241J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
質的社会調査法,DES,ACD,2322J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
収音音響構成,DES,ACD,2231J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,夏学期
情報科学Ⅰ,DES,DFT,1311W,1,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,秋学期
情報科学Ⅱ,DES,DFT,2312W,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,冬学期
身体表現演習Ⅱ,DES,DFT,2122J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,前期集中
西洋音楽史,DES,ACD,2323J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
造形表現演習,DES,MED,2561J,2,コース演習科目 (PBL)　Course Seminar Subjects,学部2年　Undergraduate second grade,1,夏学期
ディジタル信号処理,DES,ACD,2117J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,3,秋学期
データ解析,DES,END,2141J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
データ解析,DES,IND,2161J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
データ解析,DES,DFT,2321J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
データ解析,DES,ACD,2314J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,秋学期
デザインスケッチ,DES,DFT,1111J,1,コース基礎科目　Course Fundamental Subjects,学部2年　Undergraduate second grade,3,夏学期
デザイン哲学,DES,DFT,2511J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,夏学期
電気工学,DES,ACD,2312J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,前期
電子工学,DES,ACD,2313J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,後期
都市環境設計論,DES,END,2321J,2,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,前期
表象文化論,DES,DFT,2531J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,後期集中
未来デザイン方法論,DES,DFT,2621J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,春学期
緑地環境実習,DES,END,2851J,1,コース専門科目　Course Specialized Subjects,学部2年　Undergraduate second grade,1,前期集中
